A,B,C,D,E,F,G,H,I,J
0,1,6428.577,0.312,0.401,27.804,81.855,109.659,1.676,111.336
0,7,6413.677,0.485,0.6,45.942,80.918,126.86,2.002,128.863
0,2,6470.818,0.322,0.4,18.925,81.521,100.446,0.952,101.399
0,4,6434.885,0.367,0.43,63.441,84.026,147.468,2.273,149.741
0,0,6508.249,0.291,0.367,14.539,80.234,94.774,2.012,96.787
0,9,6400.496,0.321,0.422,124.092,86.419,210.512,2.121,212.633
0,6,6505.483,0.332,0.395,50.891,82.623,133.515,2.367,135.883
0,5,6505.215,0.47,0.546,66.876,80.667,147.543,1.659,149.202
0,2,6572.224,0.316,0.376,17.54,84.437,101.978,0.329,102.308
0,4,6584.634,0.383,0.482,15.541,81.204,96.746,1.192,97.939
0,9,6613.139,0.441,0.554,10.492,79.826,90.318,1.596,91.915
0,7,6542.547,0.337,0.417,113.17,80.125,193.295,1.239,194.535
0,0,6605.043,0.334,0.415,57.477,82.496,139.973,1.355,141.329
0,3,6414.491,0.775,0.919,247.767,84.12,331.888,2.017,333.905
0,8,6380.768,0.437,0.526,281.598,85.832,367.431,0.649,368.081
0,5,6654.422,0.74,0.895,7.715,86.517,94.233,1.298,95.531
0,1,6539.923,0.391,0.483,149.274,83.239,232.513,2.996,235.509
0,4,6682.579,0.336,0.416,6.481,86.19,92.672,10.253,102.925
0,6,6641.381,0.317,0.393,59.657,84.226,143.884,0.521,144.405
0,9,6705.064,0.411,0.478,19.864,80.4,100.264,1.428,101.693
0,2,6674.542,0.419,0.494,53.331,81.556,134.888,1.243,136.131
0,7,6737.093,0.433,0.512,18.865,80.421,99.287,0.362,99.649
0,8,6748.856,0.377,0.434,17.681,84.385,102.067,0.776,102.843
0,6,6785.795,0.516,0.607,9.629,79.503,89.133,2.355,91.488
0,5,6749.962,0.412,0.48,73.922,79.8,153.722,1.568,155.291
0,0,6746.38,0.315,0.39,110.351,80.636,190.987,1.112,192.1
0,7,6836.754,0.55,0.613,24.537,80.93,105.467,2.694,108.162
0,8,6851.707,0.33,0.393,20.472,81.812,102.285,1.242,103.527
0,6,6877.293,0.396,0.464,12.523,81.162,93.686,1.659,95.345
0,4,6785.508,0.589,0.692,115.734,86.656,202.391,0.733,203.124
0,1,6775.441,0.33,0.414,130.532,83.319,213.851,1.687,215.538
0,9,6806.765,0.34,0.423,99.015,85.013,184.029,3.078,187.108
0,3,6748.406,0.486,0.618,174.309,81.219,255.529,4.272,259.801
0,5,6905.264,0.568,0.647,23.753,80.364,104.118,0.631,104.749
0,8,6955.243,0.326,0.406,2.524,80.645,83.169,0.755,83.925
0,0,6938.49,0.461,0.541,27.562,81.761,109.323,1.228,110.552
0,2,6810.68,0.93,1.1,197.267,80.838,278.105,1.271,279.376
0,7,6944.924,0.37,0.455,63.266,82.346,145.613,1.637,147.251
0,4,6988.643,0.466,0.606,34.89,83.461,118.352,3.998,122.35
0,3,7008.212,0.533,0.621,66.77,79.833,146.603,1.377,147.98
0,0,7049.053,0.377,0.459,25.731,82.163,107.895,1.657,109.553
0,6,6972.667,0.354,0.428,119.457,80.472,199.93,0.336,200.266
0,7,7092.184,0.337,0.406,4.213,82.36,86.573,1.179,87.752
0,9,6993.88,0.439,0.511,110.675,82.611,193.287,1.277,194.564
0,1,6990.987,0.309,0.389,131.279,80.628,211.907,1.199,213.107
0,8,7039.181,1.011,1.109,91.879,83.571,175.451,1.855,177.306
0,2,7090.066,0.356,0.455,51.305,82.594,133.899,1.56,135.459
0,4,7111.004,0.415,0.497,30.584,84.877,115.461,1.764,117.225
0,5,7010.022,0.464,0.541,141.61,82.79,224.4,2.016,226.417
0,0,7158.615,0.364,0.442,4.359,80.082,84.441,1.28,85.722
0,6,7172.942,0.521,0.598,26.196,79.661,105.858,1.066,106.924
0,3,7156.204,0.42,0.502,53.726,79.747,133.473,1.584,135.058
0,1,7204.101,0.331,0.416,26.093,81.632,107.725,2,109.726
0,0,7244.345,0.32,0.398,21.466,80.972,102.438,1.166,103.605
0,5,7236.446,0.493,0.55,41.039,79.52,120.56,2.102,122.662
0,9,7188.454,0.601,0.747,110.165,80.817,190.983,0.996,191.979
0,8,7216.494,0.341,0.427,81.98,80.888,162.869,2.197,165.067
0,7,7179.945,0.403,0.485,119.842,81.613,201.455,0.476,201.931
0,2,7225.536,0.484,0.582,74.136,81.65,155.786,1.136,156.923
0,1,7313.837,0.452,0.567,18.595,83.189,101.784,2.503,104.288
0,6,7279.875,0.328,0.411,61.184,81.339,142.524,2.233,144.757
0,5,7359.116,0.325,0.402,6.764,82.524,89.288,1.53,90.819
0,4,7228.237,0.716,0.876,138.937,84.177,223.115,0.301,223.416
0,7,7381.883,0.288,0.383,22.346,80.881,103.228,1.238,104.466
0,3,7291.272,0.443,0.52,113.137,81.756,194.893,1.745,196.639
0,8,7381.568,0.403,0.472,54.796,80.499,135.296,0.451,135.748
0,0,7347.958,0.324,0.405,118.366,81.119,199.485,1.507,200.992
0,9,7380.444,0.554,0.68,93.055,79.533,172.588,1.514,174.103
0,4,7451.66,0.316,0.384,22.329,80.797,103.127,2.351,105.478
0,3,7487.919,0.325,0.403,15.077,82.38,97.457,17.729,115.187
0,1,7418.133,0.432,0.498,97.07,87.573,184.644,0.619,185.263
0,8,7517.326,0.441,0.512,15.017,86.247,101.265,0.225,101.49
0,6,7424.648,0.311,0.394,113.912,82.157,196.07,0.29,196.361
0,5,7449.946,0.966,1.145,91.384,80.285,171.67,1.546,173.216
0,2,7382.465,0.311,0.368,155.965,84.581,240.547,6.505,247.052
0,7,7486.358,0.32,0.403,62.472,82.007,144.479,5.539,150.018
0,4,7557.146,0.366,0.452,15.698,80.87,96.568,13.833,110.402
0,0,7548.957,0.315,0.408,53.927,80.333,134.26,1.998,136.259
0,9,7554.554,0.424,0.512,48.698,81.789,130.488,2.084,132.572
0,3,7603.119,0.564,0.632,66.287,80.673,146.961,1.472,148.433
0,6,7621.016,0.287,0.361,50.611,79.755,130.366,2.06,132.427
0,1,7603.404,0.35,0.44,71.549,81.794,153.343,1.394,154.737
0,7,7636.385,0.328,0.393,38.377,83.192,121.569,7.821,129.391
0,8,7618.824,0.315,0.391,58.371,88.394,146.766,0.268,147.034
0,4,7667.559,0.458,0.544,41.885,80.925,122.811,2.257,125.068
0,0,7685.224,0.379,0.462,51.5,85.236,136.737,1.835,138.572
0,5,7623.17,0.345,0.429,113.716,86.773,200.489,2.099,202.589
0,9,7687.135,0.365,0.44,55.114,83.348,138.463,1.93,140.394
0,2,7629.525,0.75,0.881,112.85,84.984,197.834,1.481,199.316
0,6,7753.451,0.348,0.443,19.425,81.92,101.345,0.235,101.581
0,8,7765.861,0.295,0.382,42.989,83.301,126.291,0.309,126.6
0,3,7751.56,0.371,0.447,57.895,83.908,141.804,1.772,143.577
0,1,7758.148,0.305,0.375,61.756,83.904,145.661,0.303,145.964
0,4,7792.635,0.385,0.467,48.907,82.184,131.091,1.903,132.995
0,7,7765.787,0.508,0.598,82.233,80.202,162.436,0.937,163.373
0,5,7825.768,0.352,0.433,48.817,83.915,132.733,1.856,134.59
0,0,7823.804,0.347,0.42,81.14,78.737,159.878,2.87,162.748
0,3,7895.144,0.324,0.404,19.162,79.062,98.225,1.353,99.579
0,1,7904.124,0.531,0.75,44.278,80.547,124.825,2.869,127.694
0,7,7929.169,0.305,0.4,22.345,80.727,103.073,0.274,103.347
0,9,7827.535,0.315,0.398,125.914,79.985,205.899,1.407,207.306
0,4,7925.637,0.295,0.37,55.306,79.662,134.969,1.413,136.382
0,6,7855.04,0.348,0.424,129.077,82.84,211.917,1.083,213
0,2,7828.844,0.332,0.377,154.911,84.522,239.433,0.778,240.211
0,8,7892.473,0.449,0.525,91.578,85.603,177.182,9.727,186.909
0,5,7960.366,0.389,0.468,55.094,82.706,137.801,1.851,139.652
0,3,7994.732,0.337,0.41,22.79,83.043,105.834,1.32,107.154
0,7,8032.525,0.351,0.425,16.842,80.964,97.806,3.531,101.338
0,0,7986.561,0.295,0.37,65.496,81.656,147.152,1.49,148.643
0,9,8034.848,0.327,0.409,49.351,81.008,130.359,9.179,139.539
0,4,8062.031,0.837,1.09,46.288,82.287,128.575,3.955,132.531
0,5,8100.03,0.389,0.486,18.157,82.12,100.278,2.442,102.72
0,1,8031.827,0.478,0.608,96.665,82.449,179.114,1.973,181.087
0,2,8069.062,0.342,0.407,85.309,81.496,166.805,0.329,167.135
0,9,8174.399,0.474,0.569,11.749,83.111,94.861,1.975,96.836
0,3,8101.893,0.317,0.394,85.135,84.047,169.183,2.215,171.398
0,8,8079.389,0.343,0.409,114.95,81.574,196.524,0.902,197.427
0,1,8212.925,0.393,0.494,5.508,81.466,86.974,2.467,89.442
0,6,8068.049,0.4,0.476,153.286,83.743,237.03,1.172,238.202
0,4,8194.572,0.388,0.455,46.45,82.449,128.899,3.487,132.387
0,7,8133.87,0.316,0.402,127.895,81.295,209.19,0.378,209.569
0,0,8135.211,0.37,0.49,149.827,95.401,245.228,0.525,245.753
0,5,8202.758,0.299,0.378,83.997,93.829,177.826,0.433,178.259
0,2,8236.206,0.419,0.527,47.407,97.117,144.525,0.519,145.044
0,6,8306.259,0.336,0.413,3.622,81.754,85.377,3.954,89.331
0,9,8271.247,0.468,1.138,48.801,82.285,131.086,5.775,136.861
0,7,8343.45,0.445,0.55,7.533,83.535,91.069,12.373,103.442
0,1,8302.377,0.352,0.429,54.306,89.95,144.257,1.044,145.301
0,8,8276.825,0.397,0.494,104.45,87.657,192.107,1.003,193.111
0,3,8273.295,0.582,0.657,107.827,88.457,196.284,0.432,196.717
0,4,8326.967,0.382,0.454,55.066,88.862,143.928,3.529,147.457
0,9,8408.118,0.387,0.47,10.387,81.323,91.711,2.096,93.808
0,5,8381.02,0.737,0.809,72.154,82.173,154.327,2.08,156.408
0,6,8395.599,0.31,0.381,60.746,88.193,148.94,0.223,149.163
0,1,8447.686,0.287,0.348,15.042,82.895,97.937,3.174,101.111
0,0,8380.969,0.55,0.685,84.005,88.633,172.638,1.193,173.831
0,4,8474.432,0.295,0.375,10.992,87.808,98.8,15.063,113.864
0,8,8469.946,0.996,1.127,55.763,87.871,143.635,0.35,143.985
0,0,8554.808,0.306,0.389,4.062,97.274,101.336,1.629,102.966
0,9,8501.936,0.364,0.441,57.994,97.65,155.644,0.333,155.977
0,5,8537.438,0.409,0.487,24.686,95.581,120.268,0.765,121.034
0,7,8446.903,0.418,0.538,166.93,82.688,249.618,12.816,262.434
0,3,8470.014,1.107,1.204,144.07,95.186,239.257,0.458,239.715
0,1,8548.805,0.291,0.366,65.599,95.008,160.607,1.759,162.367
0,2,8381.252,0.64,0.703,232.706,95.11,327.816,2.124,329.941
0,4,8588.308,0.451,0.53,47.676,81.686,129.363,19.95,149.313
0,6,8544.77,0.425,0.514,94.256,98.361,192.617,1.175,193.793
0,8,8613.935,0.482,0.648,66.74,79.822,146.562,13.637,160.199
0,5,8658.478,0.364,0.461,23.727,91.555,115.283,0.678,115.961
0,0,8657.783,0.359,0.437,29.469,86.909,116.378,1.615,117.994
0,9,8657.92,0.434,0.494,52.377,80.121,132.499,2.162,134.661
0,7,8709.341,1.143,1.286,2.176,84.412,86.589,18.531,105.121
0,0,8775.784,0.34,0.447,2.582,677.582,680.165,1.972,682.138
0,4,8737.632,0.477,0.553,40.936,679.191,720.127,46.877,767.005
0,1,8711.177,0.458,0.532,46.203,746.914,793.118,0.676,793.795
0,2,8711.197,0.549,0.614,36.637,756.865,793.503,0.62,794.123
0,3,8709.732,0.968,1.401,729.574,148.167,877.741,1.855,879.597
0,9,8792.592,0.382,0.461,647.063,212.999,860.063,2.327,862.391
0,5,8774.449,0.442,0.497,665.322,278.888,944.21,1.71,945.921
0,8,8774.139,0.542,0.675,666.023,348.013,1014.037,3.225,1017.262
0,7,8814.472,0.42,0.499,625.747,350.894,976.641,1.077,977.719
0,3,9589.338,0.74,0.84,52.156,212.561,264.717,1.988,266.706
0,1,9504.98,0.395,0.478,199.746,152.4,352.146,1.436,353.583
0,2,9505.326,0.369,0.408,200.027,212.787,412.815,0.346,413.162
0,5,9720.381,0.408,0.468,50.974,150.027,201.002,0.889,201.892
0,9,9654.994,0.436,0.496,119.325,206.595,325.92,1.9,327.82
0,7,9792.196,0.259,0.853,45.479,147.983,193.463,1.292,194.756
0,8,9791.412,0.416,0.474,47.556,209.663,257.22,1.399,258.62
0,1,9858.571,0.332,0.388,47.169,146.521,193.691,1.358,195.049
0,6,8738.566,0.293,0.349,1167.354,156.58,1323.935,0.934,1324.869
0,5,9922.281,0.382,0.438,49.221,145.247,194.469,1.392,195.862
0,7,9986.962,0.364,0.42,47.021,150.528,197.549,1.334,198.884
0,0,9457.939,0.316,0.395,578.457,150.278,728.735,1.254,729.99
0,9,9982.825,0.43,0.5,64.168,199.563,263.731,0.345,264.077
0,3,9856.054,0.416,0.472,247.039,147.388,394.428,1.72,396.148
0,4,9504.641,0.548,0.619,664.554,141.019,805.573,1.417,806.991
0,2,9918.499,0.404,0.459,250.86,142.241,393.101,1.155,394.257
